Theme,Sub-Theme,Feature Name,URL,longitude,latitude
Place Of Assembly,Theatre Live,Regent Theatre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d258074-Reviews-The_Regent_Theatre-Melbourne_Victoria.html,144.9679167,-37.81600147
Mixed Use,Retail/Office,Treasury Reserve,https://www.tripadvisor.com.au/Attraction_Review-g255100-d6960703-Reviews-Treasury_Gardens-Melbourne_Victoria.html,144.9752368,-37.81291788
Office,Office,Old Treasury Building,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256554-Reviews-Old_Treasury_Building-Melbourne_Victoria.html,144.9744236,-37.81323717
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,https://www.epworth.org.au/who-we-are/our-locations/epworth-freemasons-victoria-parade,144.9823368,-37.80934446
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d15052844-Reviews-Batman_Park-Melbourne_Victoria.html,144.9566658,-37.82184609
Office,Office,Australian Red Cross,https://www.redcross.org.au/,144.9526359,-37.7990921
Community Use,Government Building,Melbourne Magistrates Court,https://www.tripadvisor.com.au/Attraction_Review-g255100-d15053377-Reviews-Former_Melbourne_Magistrates_Court-Melbourne_Victoria.html,144.9568462,-37.81361477
Transport,Railway Station,Flagstaff Railway Station,https://www.metrotrains.com.au/stations/flagstaff/,144.9563182,-37.81223565
Community Use,Public Buildings,Supreme Court,https://www.supremecourt.vic.gov.au/,144.957894,-37.81414942
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,https://www.tripadvisor.com.au/Attraction_Review-g635736-d14116800-Reviews-Richmond_Football_Club_Museum-Richmond_Yarra_Greater_Melbourne_Victoria.html,144.9881563,-37.821674
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),https://www.tripadvisor.com.au/Attraction_Review-g255100-d256584-Reviews-Melbourne_Cricket_Ground_MCG-Melbourne_Victoria.html,144.9834029,-37.81949216
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256557-Reviews-Melbourne_Zoo-Melbourne_Victoria.html,144.9513712,-37.78444493
Office,Office,Australian Broadcasting Corporation (ABC),https://www.abc.net.au/,144.9665514,-37.82381332
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d1419695-Reviews-Melbourne_Convention_and_Exhibition_Centre-Melbourne_Victoria.html,144.9543524,-37.82524551
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d1419695-Reviews-Melbourne_Convention_and_Exhibition_Centre-Melbourne_Victoria.html,144.9522883,-37.82490405
Place Of Assembly,Art Gallery/Museum,Polly Woodside,https://www.tripadvisor.com.au/Attraction_Review-g255100-d257177-Reviews-Polly_Woodside_Melbourne_s_Tall_Ship_Story-Melbourne_Victoria.html,144.9534781,-37.82425743
Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,https://www.eworldtrade.com/events/venue-melbourne-international-karting-complex/,144.9138229,-37.83107464
Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,https://www.misc.org.au/,144.9134158,-37.82928449
Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,https://www.tripadvisor.com.au/Attraction_Review-g255100-d10034501-Reviews-Southgate_Melbourne-Melbourne_Victoria.html,144.9659891,-37.82022458
